Sprint,Sprint Window,Planned Points,Done at Start,Done at End,Remaining at End,Velocity,Cumulative Done
1,Feb 15 - Feb 28,13,0,13,0,13,13
2,Mar 1 - Mar 14,26,13,39,0,26,39
3,Mar 15 - Mar 28,18,39,57,0,18,57
4,Mar 29 - Apr 11,22,57,79,0,22,79
5,Apr 12 - Apr 25,16,79,95,0,16,95
6,Apr 26 - May 3,24,95,119,0,24,119
7,May 4 - May 10,33,119,152,0,33,152
,,,,,,,
"Daily burndown (Sprint 7 — final sprint)",,,,,,
Day,Date,Remaining Points,Completed Today,Notes,,,
0,May 4,33,0,Sprint start — mail flow + UI polish kickoff,,,
1,May 4,28,5,Kalhar: SMTP provider + 4 templates,,,
2,May 5,18,10,Nihar: cancel/reschedule service+routes+observers; Soham: tickets observer cancellation,,,
3,May 6,12,6,Kalhar: reminder cron loop + schema migrations,,,
4,May 7,5,7,"Nihar: role-aware page + RescheduleModal + VM SMTP env; Soham: API client cancel/reschedule",,,
5,May 8,2,3,"Kalhar: Maps link + demo migration; Soham: quick-login buttons",,,
6,May 9,0,2,Nihar: Stripe paymentReady gate + events-grid CSS fix + HTTPS LB,,,
7,May 10,0,0,Slack: project journal + observability hardening + repo mirror,,,
,,,,,,,
"Story breakdown by status (end of project)",,,,,,
Status,Count,Points,,,,,
Done,40,152,,,,,
In Progress,0,0,,,,,
In Review,0,0,,,,,
To Do,0,0,,,,,
Backlog,5,18,,,,,
,,,,,,,
"Owner velocity summary",,,,,,
Member,Stories,Points Owned,,,,,
Nihar Patel,14,60,,,,,
Soham Raj Jain,12,42,,,,,
Kalhar Patel,11,39,,,,,
Shared (3 owners),3,11,,,,,
Totals,40,152,,,,,
